,Tweet,Emotions
0,"20,131 cases of #COVID19 in a day in India. Number of total cases - 5,29,577 out of which 16,103 (414 in a day) have lost their lives. The fatality rate is 3% whereas the recovery rate is 58.6%. 
Active cases in India - 2,03,328

#CoronaUpdatesInIndia #COVID19India",0
1,"#COVID19India #Covid19Karnataka #COVID19vaccine
Has anyone tried nebulizer and nebulization with Saline for covid??",0
2,"Virus comes out only on Sundays and at night 

#COVID19UG #Coronapalooza #COVIDIOTS #COVID19India #CoronaUpdates #Coronil #COVID #CoronaUpdatesInIndia #COVIDUpdates #Corona

Full lockdown on Sundays from July 5, night curfew to begin at 8 pm https://t.co/1vnI30VcRU",1
3,"#covid19india  status on 27.06.20
Highest no of cases in one day, 20,132. Total is 5,29,577. New deaths added is 414, total deaths is 16,103, fatality rate is 3.04%.  6,368 new case ( highest in 1day) added to Maharashtra bringing its total to 1,59,133. Total deaths -7273, 
1/3",0
4,"India records all time highest confirmed cases in one day. 20K+ that's a biggest spike ever.

#COVID19India #IndiaFightsCorona #COVID19 https://t.co/IoY1CroeJb",0
5,"#UPDATE : #coronavirus 

20,131 new cases and 414 new deaths in India 🇮🇳 🔼

Visit :-https://t.co/PU14yxxUkf

#India  #COVID19 #COVID19Pandemic #CoronaVirusUpdate #COVID19India  #news  

#follow us : Live News➡️ @Taproban 
#Taprobana https://t.co/d3tHq7jRlX",1
6,"@htTweets And we say all is safe and people must go to work! Thermal check, masks.....all is well. #SocialDistancing is the only prevention till a genuine cure arrives.
#bajajauto #COVID19India",0
7,"@TheVikasKhanna , celebrity Michelin Star Chef feeds 17 million poor Indians in the last three months during lockdown, all remotely managed from New York. Amazing work from an amazing person. #NewYork #COVID19 #COVID19India #lockdown #USA #India https://t.co/o73699rGyg",1
8,"No doubt, India is fighting with Corona Virus within and alongside the LAC, thanks to PRC (People's Republic of Corona) 
#PeoplesRepublicofCorona
#COVID19India 
#chinaindiaborder https://t.co/8O5gCFzKuq",1
9,"27th June - #COVID19India

📈 20,000+ new cases in a day, the new high for India.
📣 3L+ COVID19 infected have recovered.
📣 2L+ are active (63.5% of active cases are in MH, GJ, TN).
📣 MH, KA, TG, AP, KL, BR, PY reported their daily high of new cases.

#WearYourDamnMask 🙏 😷 🙏 https://t.co/wVPGH6xuJd",0
10,"India struggles as coronavirus cases top 500,000 mark.. #India #Covid19India #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVIDー19 https://t.co/1eSpRL9sTI",0
11,"I am just wondering where all the discussions of PDA's (Public display of affection)

Whether it should be allowed or not ??

There were continuous debates !!

However nature decided what's good for us 🙏

#coronavirusindia #COVID19India",1
12,"Amazing! Kudos to the Govt. 👏👏
#IndiaFightsCorona #India
#DelhiFightsCorona #Delhi
#COVID19 #COVID19India
{SearchTerms}

https://t.co/wyRGSZkKKS",1
13,"Ek crore
#COVID19India 
#COVID19 # https://t.co/oWS9ifTAJG",0
14,"Lesson for #India to combat #COVID19 effectively @narendramodi @PMOIndia @AmitShah @PIBHomeAffairs @MoHFW_INDIA @drharshvardhan @ICMRDELHI 
#COVID19India 👇 https://t.co/uLbtxgvxCH",1
15,Intelg. is 2 learn frm others mistakes #India been lucky to get time.But way cases spiking &amp; owing to popltn. same mistakes can lead to disaster. Gapped #lockdown for short phases till  effective cure/vaccine can save @narendramodi @AmitShah @MoHFW_INDIA #COVID19India @PIB_India https://t.co/j6B2kOUjAg,0
16,@aajtak UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....,0
17,Equate Moisturizing Hand Sanitizer with Vitamin E from https://t.co/Drwwbj2Ivv #COVID19US  #COVID19India #COVID19 #Covid19UK  https://t.co/noGWK3cA9Y,1
18,"@mukherji_dibz @rishibagree Its not only bakree, suddenly a chunk fake sanghi news peddlers hv relatives in Delhi infected with #COVID19India &amp; charged the same bill amount. https://t.co/tbgO7kOzrB",0
19,"Today's status: 27 June 2020

#CoronaVirusUpdates  
#coronavirus
#COVIDー19  
#Corona
#COVID19  
#coronaupdatesindia 
#Covid_19india 
#COVID19India https://t.co/aQF9tPepYV",0
20,"Equate Hand Sanitizer with Aloe from https://t.co/Drwwbj2Ivv #COVID19US  #COVID19India #COVID19 #Covid19UK

https://t.co/oMZPHujmt5",1
21,"@DrChiragGoda @TajinderBagga @CMOMaharashtra @DGPMaharashtra @MumbaiPolice I am not against your concern, but LIFE must go on with #COVID19India. We can't deny this fact and our duties too.",0
22,"Today's status: 27 June 2020

#CoronaVirusUpdates  
#coronavirus
#COVIDー19  
#Corona
#COVID19  
#coronaupdatesindia 
#Covid_19india 
#COVID19India https://t.co/sMeqWFGHeo",0
23,"@drishtooo @shraddhadas43 @MeerraChopra 
#Exams2020 #COVID19India 
I had experience 😊😊😊😊😊 https://t.co/PtADbV2d4a",1
24,"#BreakingNews #ajantanews
#coronavirus update from #India 🇮🇳:
27/06/2020 

Total cases :5,29,577
Active cases :2,03,272
Death cases :16,103
Recovered :3,10,146

20,132 new cases &amp; 414 deaths reported today

#COVIDUpdates #COVID19India #Covid_19 #CoronaWarriors #CoronavirusIndia https://t.co/uPQcfaxIzo",0
25,@Support94307661 UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....,0
26,"@nitin_gadkari 
UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....",0
27,"@rajnathsingh 
UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....",0
28,"Cantu Moisturizing Shampoo + Conditioner + Conditioning Hair Lotion + Coconut Mist ""Set"" is one of my faves from https://t.co/Drwwbj2Ivv #COVID19US  #COVID19India #COVID19 #Covid19UK

https://t.co/9kYxjbMZvc",1
29,"@drharshvardhan 
UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....",0
30,"@PMOIndia 
UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....",0
31,@PMOIndia UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....,0
32,Africa's Best Kids Organics Detangling Moisturizing Hair Lotion is one of my faves from https://t.co/Drwwbj2Ivv  #COVID19US  #COVID19India #COVID19 #Covid19UK   https://t.co/r8n02ETPCf,1
33,@CMYogiAdityaNat UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....,0
34,"Connecting flights to Vijayawada, Andhra Pradesh.
#IndiaInternationalFlights
#COVID19India 
@IndianEmbassyUS 
@MoCA_GoI 
@DGCAIndia 
@kesineni_nani 
@JayGalla 
@tv5newsnow 
@eenadulivenews 
@abntelugutv 
@ndtv",0
35,UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....,0
36,"For the first time #coronavirus cases in India hav touched 20k+ on June 27th
Highest cases recorded by a single country worldwide on June 27th is #India 
Be sacred ppl be very very sacred 😭😭
#COVID19 #COVID19India #CoronavirusPandemic #CoronavirusIndia",0
37,"Some people says dark magic exists,Some people says dark magic doesn't exist
But deep down we all knows kaadha pine se immunity achhi hoti hai

#COVID19 #COVID19India #CoronavirusIndia #pandemic #Quarantine",0
38,"Active COVID19 cases in Assam stand at 2,338
@himantabiswa @CMOfficeAssam @sarbanandsonwal #COVID19India @drharshvardhan @PMOIndia 
https://t.co/HFhDATD0bn",0
39,"Follow me @MrMohanMaurya
Retweet &amp; Like this post
#IndiaChinaBorder #ARMY
#News #Opinion #FactCheck #Analysis #Blog #covid #coronavirus #India #china #carecentre #hospital #CORONIL #COVID19 #COVID19India #CoronavirusIndia #coronilTablet #ramdev #AmitShah #ArvindKejriwal #like https://t.co/7qd2GQZziV",0
40,"Follow me @MrMohanMaurya
Retweet &amp; Like this post
#IndiaChinaBorder #ARMY
#News #Opinion #FactCheck #Analysis #Blog #covid #coronavirus #India #china #carecentre #hospital #CORONIL #COVID19 #COVID19India #CoronavirusIndia #coronilTablet #ramdev #AmitShah #ArvindKejriwal #like https://t.co/ti9OFoyoId",0
41,"Worldwide cases cross 1crore mark today. Devastating.
#CoronavirusIndia 
#CoronaVirusUpdates 
#COVID19India 
#COVID19Pandemic 
@TimesDemocracy 
@covidindiastats https://t.co/fVZ2kVWiec",0
42,"@Umrulayyar786 @guddu_siddiqui @Uppolice @Barabankipolice @112UttarPradesh these type of people are bad elements n their activities are fatal for society. Kindly take strict action.
@Uppolice 
@Barabankipolice
@dgpup
#COVID19India 
#coronavirus 
@drharshvardhan",0
43,"@MoinuddinMans20 @guddu_siddiqui @Uppolice @Barabankipolice these type of people are bad elements n their activities are fatal for society. Kindly take strict action.
@Uppolice 
@Barabankipolice
@dgpup
#COVID19India 
#coronavirus 
@drharshvardhan",0
44,"@Shakir786143 @guddu_siddiqui @Uppolice @Barabankipolice these type of people are bad elements n their activities are fatal for society. Kindly take strict action.
@Uppolice 
@Barabankipolice
@dgpup
#COVID19India 
#coronavirus 
@drharshvardhan",0
45,"Whats wrong with our great country, 
Baahar say china andar say Corona problem bana hoa hai. 
 #COVID19India 
#CoronaUpdatesInIndia 
#Congress 
#Modi 
#IndiaFightsCorona 
#ChinaIndiaFaceoff 
#ModiGovt 
@timesofindia 
@INCIndia 
@cpimspeak 
@MamataOfficial 
@KapilSibal https://t.co/CI22z6Nv4Q",0
46,"Bangalore 26/6/2020 - 144 Cases
Bangalore 27/6/2020- 596 Cases
5 fold increase in a day !
Even though we have done well in the last few months, The need to revisit the famous #bengalurumodel is the ask of the hour.
#Bengaluru #Covid19Karnataka #COVID19India #COVIDUpdates",0
47,@DigiThane @TMCaTweetAway @nareshmhaske @vikasrepale @malavi_sandeep @CMOMaharashtra @PIBMumbai @DDSahyadri @Info_Thane1 @airnews_mumbai @air_mumbai @DGPMaharashtra Cases rising drastically.. If situation not in control please impose lockdown again in Thane.. #COVID19India,0
48,"#IndiaFightsCorona 
Updates #COVID19India 
#COVID19 
#CoronaPandemic https://t.co/GylJeBWucK",0
49,There is community transmission in Goa: CM Pramod Sawant #Goa #India #COVID19India #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVIDー19 https://t.co/ZE6oL6jHI6,0
50,"Tptal covid19 cases cross 10 million mark worldwide
#COVID19India 
#COVID19 https://t.co/kP7JxzzNCS",0
51,"Total discharged cases in Arunachal have increased to 54 
@DirectorateofHS @PemaKhanduBJP @ArunachalDIPR @KirenRijiju #COVID19India 
https://t.co/Ml4cE7xfX9",0
52,"Worst Administration...!!  😷
@KTRTRS
@Eatala_Rajender 
#WakeUpTelenganaGovt 
#COVID19India 
#coronavirus 
#Hyderabad https://t.co/tOgYIYAPRE",0
53,"#COVID19India #COVID19Pandemic From 21st March onwards we are observing lockdown situation, many IT Professionals are working from home. Govt should relax taxation laws to allow IT COMPANIES TO PROVIDE FREE INTERNET etc. As It will be beneficial to all people
Less pollution.",0
54,"This is d situation in hyderabad horrible reported by BBCnews https://t.co/NfyHWmTHcs @TelanganaCMO @PMOIndia @narendramodi @KTRTRS @UNHumanRights @humanrights1st  https://t.co/NfyHWmTHcs
#caronavirus2020 #IndiaFightsCorona #TelanganaFightsCorona #Telangana #COVID19India #PMModi",0
55,"🔴 Link 👉https://t.co/C0zFdaMku6

#COVID19
#COVID19India 
#COVIDUpdates 
#CoronaUpdatesInIndia 
#Covid_19 
#COVID19TX 
#COVIDWarriors 
#WestBengal https://t.co/rJIL0lzTG6",1
56,"India 500,000 #COVID19India journey!!  https://t.co/y0YAyP84Xw https://t.co/8Xr6o6RPeI",1
57,"Assam Corona Daily Report: 27 June (11:59 PM)

246 new positive cases of Covid-19 and 567 recoveries were reported today in #Assam today. Total cases in the State stands at 7165 including 4814 recoveries and 10 fatalities.

#COVID19India  #Covid_19 https://t.co/EW95uV8ZoY",1
58,"Projections tells that India had atleast 13.3 lac actual infected people than reported 4.73 lac on 24/25th June.
@SetuAarogya effective or not?? #COVID19India #delhi #mumbai @narendramodi @ShamikaRavi @thealokputul 
https://t.co/fhgFUYS8pI",0
59,"The average recovery rate of Covid-19 in India is around 58%.

Gujrat stands highest @ 72%.

Telangana being worst @ 36%.

#WakeUpTelanganaGovt 
#COVID19India",0
60,"Are all companies tech companies now, necessity creates situations that raises the level of maturity. Too much of anything is just not right. The difference between work from home and living at work, clarifies this. 

#lockdown #lockdownindia #WFH #COVID19 #COVID19India",0
61,"Tripura Corona Daily Report: 27 June (11:59 PM)

#Tripura reported 9 new cases of Covid-19 in the last 24 hours while 16 patients recovered taking the State's tally to 1340 including 1071 recoveries &amp; a fatality

Active cases in Tripura stands at 262.
 
#COVID19India #Covid_19 https://t.co/cO4iYD0nCg",0
62,"Now #India have crossed 5 lakh mark of total #coronavirus cases, out of them &gt;295K have been cured and discharged. So far &gt;15,600 have lost their lives and &gt;197K cases are still active.
#COVID19 #COVID19India #CoronaUpdatesInIndia 
(27th June, 23:59)
https://t.co/YjaRU9MTLh https://t.co/Fq0qgjRQcP",0
63,"#Covid_19 #COVID19India 

#Covid19Chennai

The ship idea will also work for Mumbai.  Basically, coastal cities with beach / port / harbor. 

I m just thinking aloud how we create (hospital) capacity quickly .. Becoz i think we will need it.",0
64,"19,886 new cases today. Highest again.
#COVID19India",1
65,"#Covid_19 #COVID19India 

#Covid19Chennai 

Next, can we - depending on how the border situation is - either deploy our own (India) ships to come to Chennai &amp; dock for being used as hospitals or request ally Nations (that are safe - not the US coz they r engaged) for 2 ships?",0
66,"#COVID19India Update till 27 Jun 11.30 pm

📌Total cases of #COVID19: 529,331
Total Active: 203,027

Today:
Case increase:19,886
Recovered:14,229
Death :413

Top 6 States:
#Maharashtra 1,59,133
#Delhi 80,188
#TamilNadu 70,335
#Gujarat 30,771
#Uttarpradesh 21,559
#Rajasthan 16,944",0
67,"#Covid_19 #COVID19India 

#Covid19Chennai

Ofcourse all precautions must be taken regarding assigning hotel rooms but that is mighty do-able.  The fastest way to create capacity for beds with attached restrooms.  Can we start? Can have roving / flying squad medical teams as well.",1
68,"India just witnessed 20k cases within one day. Highest till now.

ICMR:- Since all indians are my brothers and sisters, we will call it contact transmission. We are not in community transmission.

Stupid ICMR
#COVID19India #CoronaUpdatesInIndia",0
69,"#Covid_19 #COVID19India 

#Covid19Chennai

I am asking that question as a win-win becoz we will create capacity + hotels will make money + load on pvt hospitals will reduce (people fear no beds for non-corona needs - i dont know if true or not - have not gone out in 90 days)",1
70,"New #coronavirus case in #Maharashtra  5318, what's happening don't know, are we serious or no? in the news thr is only #Delhi whr is #Mumbai ??#MaharashtraBachao  
@ZeeNews @Republic_Bharat @abpnewshindi @News18India @news24tvchannel @aajtak @TOIMumbai #AmitShah #COVID19India",0
71,"#Covid_19 #COVID19India 

#Covid19Chennai

As regards hospital beds (given what we are going thru), can we do two things: 

1.  See, our hotels are not occupied &amp; are not making money.  Can we enlist willing ones for rooms &amp; direct mediclaim patients there so hotels can get paid?",1
72,"Chennai full lockdown, karnataka full lock down on Sundays and the table topper Maharashtra opening saloons? #COVID19India",1
73,"?????Bangalore Discharge in only 534, where as Udupi is1038, Kalaburgi 959, Yadgir 787. Any idea why is this?
@publictvnews @suvarnanewstv @tv9kannada  @TOIBengaluru @RAshokaBJP @mla_sudhakar @BBMPCOMM   #Covid19Karnataka  #COVID19India",0
74,"#Covid_19 #COVID19India 

#Covid19Chennai

Ctd..

&amp; Govt is now stretched too much, they have been on the field for 3 months now! Under exceptional stress.  They are human too.  How long to go? Is it humanly possible? Should we relook at management of the pandemic?",0
75,@PMOIndia @MEAIndia @DrSJaishankar  map of India as displayed by @WHO @UN  is disregarding sovereignty of India by displaying a faulty map of India on its #COVID19India  website https://t.co/4tUE2r0z4y it is an insult to all #Indians,0
76,"#Covid_19 #COVID19India 

#Covid19Chennai

+ infectious diseases specialists (who can monitor virtually &amp; lead the effort) EVEN AS THE GOVT PLAYS FACILITATOR &amp; ENABLER? 

I know the Govt has a team on board &amp; regularly consults but my fear is: no beginning of end yet &amp; Govt is",0
77,"When all your life  support #communist ( #Kerala , #China .. against #Indiandemocratic ( #bjp ) and die due to Chinese virus 😹😹😹✌️#Coronavirus  #COVID19India",0
